Nama,Komentar,Waktu,Likes,Reply Count
@dimaspanji7428,"Ketiganya paslon ini sebenernya emang bermasalah kita harus akui itu, kita punya data dan fakta untuk membuktikan itu. 

Tapi emang anis ini gaya politiknya bahaya, bahaya banget dia bisa halalkan segala cara untuk cari suara. Apalagi orang orang plosok yang mungkin masih kurang edukasi dan fokus dalam mencerna apa yang dia katakan 100% akan termakan dan menjadi suara untuk anis ini
Berbahaya",2024-01-08T18:43:13Z,3,
@micindunia4241,"Anis dibilang hy pinta berkata-kata, tapi didebat ini apa yg dikata-kata Anis, semuanya adalah sesuai fakta. 😂",2024-01-08T09:56:39Z,3,1
@user-uv6oe7ch4c,Betuull fakta....setuju... Namun juga beliau tidak menjawab dengan spesifik apa yang harus dilakukan...jadi kita hanya menangkap apa yg beliau mau...bukan contoh action ato langkah yang seperti apa...,2024-01-09T16:29:19Z,0,
@kotimaoot6608,All in Prabowo,2024-01-08T09:54:39Z,0,0
@ariffach,"INDONESIA berpeluang besar dipimpin oleh presiden yang hebat, semoga jalan demokrasi  yang dipilih oleh rakyat indonesia tidak membuat PELUANG ini berlalu begitu saja.... MARI kita semua memilih pasangan no 1 Bapak Anies Rasyid Baswedan dan Bapak Abdul Muhaimin Iskandar sehingga terwujud menjadi pasangan Presiden dan wakil Presiden Indonesia 2024 - 2029... aamiin...",2024-01-08T09:30:49Z,4,1
@ahmadharmaini1904,aamiin,2024-01-08T13:51:08Z,0,
@Djakartaparadise,"PESAN SAYA, HAI PARA CALON PEMIMPIN INDONESIA 2024...SIAPAPUN YANG NANTINYA TERPILIH, TOLONG BERIKAN YANG TERBAIK UNTUK MENYEJAHTERAKAN KAMI...JANGAN NANTI KETIKA TERPILUH KALIAN LUPA TENTANG KESEJAHTERAAN KAMI. KAMI BENCI OMONG KOSONG PERDEBATAN TANPA BUKTI, KARENA KAMI SUDAH KENYANG DENGAN JANJI. TERIMA KASIH.",2024-01-08T09:22:07Z,0,0
@civilmost,Nyalahin kementrian pertahanan karna keserangan hacker pak anies ini tahu tidak itu tugas siapa?. Kementrian Pertahanan itu tugasnya menjaga kemanan kedaulatan negara yang real bukan siber,2024-01-08T09:09:13Z,1,3
@kny9648,"Oh iya ya cyber itu untuk yg bisa komputer ya, ga digabung, berarti anis asal ngomong dong",2024-01-08T09:27:14Z,1,
@civilmost,@@kny9648 Setahu saya itukan tugas kominfo dan BSSN,2024-01-08T09:51:16Z,0,
@civilmost,"@@kny9648 Kalo kemenhan itu pertahanan terkait serangan terhadap wilayah dan kedaulatan indonesia Darat, Laut, dan, Udara",2024-01-08T09:52:25Z,0,
@kny9648,"Nice Ganjar jangan biarkan Anis memanfaatkan waktu seenaknya, langsung bilang aja jika sekiranya anis salah seperti yg dibilang prabowo di awal, anis ga bilang lebih jelas lagi tahu nya cuma menyindir/menghasut",2024-01-08T09:05:21Z,1,0
@user-dx6fo9wc7i,"Ganjar debat kayak anak kecil , utk menjelaskan hal serumit itu dgn 1mnt mana bisa blok goblok , ttp pragib presiden & wakil presiden 2024",2024-01-08T09:04:20Z,0,0
