author,text
@Update45,"Hati-hati untuk hari ini kita menilai, memilih, menyerahkan hidup kita kedepannya untuk calon Presiden Republik Indonesia dan wakilnya untuk masa depan kita dan masa depan rakyat Indonesia dari Sabang sampai Merauke yg mana perut kita kita petaruhkan kepada mereka, jangan pilih orang yang tidak sesuai dengan hati kalian jangan pilih orang yang plangak plongok jangan sampai pengalaman masa lalu terulang untuk kedua kalinya terimakasih"
@anggiiee5815,ini mah nyerang personal
@venosabayu7698,Ganjar - Mahfud 🔥
@katthansrj,Host nya terlalu kaku
@windyhariyadi1505,"Pak prabowo 🤯 
pak ganjar 😊 
pak anis 😮"
@desimelia,ini debat 2 lawan 1 🤣
@nichiyama1054,"Bagus dalam retorika belum tentu baik dalam kerjanya, jadi ga bisa kita nilai dari omongan pak anies itu bakal dikerjakan beliau, kalau memang pak anies sanggup mengerjakan seperti ucapannya tanpa beralasan 5 tahun bukanlah waktu yang cukup alhamdulillah, kalau beliau tidak bisa melaksanakan apa yang beliau bicarakan dan judge beliau pada capres lainnya berarti beliau memang hanya orang yang pintar retorika, untuk pak ganjar sangat baik dalam mengutarakan pendapat beliau karna membawa data yg tim beliau sudah kumpulkan walaupun agak tidak sesuai dengan data aslinya tapi lebih concrete daripada pak anies alhamdulillah, untuk pak prabowo beberapa blunder karna emosi dari serangan 2 belah pihak tapi cara beliau meng handle selain blunder itu bagus, bukan maksud saya memihak disini tapi opini beliau benar ""pemimpin tidak boleh menghasut atau menjelek-jelekkan pihak lain"", karna sebagai pemimpin negara tidak boleh menjadi pembuat hoax dan hate speech, dan opini beliau soal pak ganjar mempermasalahkan peralatan dan persenjataan yang sudah berumur juga lumayan bagus, karna membeli barang-barang yang sudah berumur alias bekas saja budgetnya sangat besar apalagi yang baru, sedangkan diawal dipermasalahkan soal hutang negara, jadi pak ganjar sangat nampak tidak konsisten itu saja yg bisa saya simpulkan, dan siapapun yg terpilih saya berharap mereka dapat lived up to expectation seperti yg mereka janjikan, terimakasih"
@riksencool,"Debat kemarin Pak Anies dikritik ttg tugas nya sebagai gubernur dan ttg polusi Jakarta, dan beliau mampu menjawab secara detail
Giliran Pak Prabowo ditanya ttg hal yg menyangkut tupoksi beliau sebagai MenHan ehh malah marah marah"
@sibloy_3242,"Saya lihat Pak Prabowo terlalu banyak mendam, Kenapa? Krna terlalu resiko semisal rahasia negara terlalu terbuka dipublik, krna ini terrecord artinya semua pihak bisa melihat maka resiko yg akan terjdi akan ada antek antek luar yg akan tau dan akan merencanankan hal hal yg mungkin membahayakan rencana pengamanan dan keamanan negara.. harusnya paslon 1 dan 3 paham akan hal ini, bukan malah mengolok olok dan bahkan meminta data yg seharunya itu berbahaya bagi bangsa.. astaga
Maaf menrut saya di debat sesi ini, kenapa semua paslon malah saling menjatuhkan., ini debad untk solusi membangun bangsa RI , kalian di pilih untuk melindungi, mensejahterakan, memakmurkan bangsa, Bukan malah saling serang!!!"
@muhammadfarisnaufalhilmi2016,Ini pendukung paslon bisa ga treak2 😩
@DimasPratama-cx4fv,Indonesia maju bersama ganjar mahfud
@jespowork4024,ALHAMDULILLAH DIAKHIR BUBARAN PAK PRABOWO BANYAK YANG MENGHMPIRINYA . ORANG TULUS BAIK SELALU DIKELILINGI ORANG BAIK JUGA ALHAMDULILLAH
@Hi.Bayu.S,"Komitmen Anis ialah ""tidak akan menghianati Pak Prabowo namun pada malam ini, omongan manis mana lagi yg belum terucap menyerang pak Prabowo yg ada."""
@user-ie9he5sz4r,5:32:28
@Palubolong,"mana mungkin pak prabowo KORUPSI dan buat apa ?? orang dia yang ambil kebijakan, dia juga yang ambil untung.. enekk gue denger bersih bersih taii"
@MariYatun-ep2tn,1
@changanmy1807,Pak prabowo the best
@TaufikFalaba,Anis Ganjar gabung aja lawan kekuasaan.
@nawarachwey7011,"Jangankan aturan debat, aturan MK aja bisa di goyang"
@brianabram9968,Anis terlalu manis🤪 bisa gk terealisasi..?
@rendypranata9210,"Anies ini membingungkan ya, masalah judi online, hacker dll, itu tugasnya lebih BERAT ke porsi dan tanggung jawab KOMINFO, ya itu mantan menkominfonya di kubu dia skrg lagi meringkuk di tahanan"
@anakharamofficial8745,No 01 serang no 02 mulu. Kayaknya dendam wkwk
@PandriAkmal,"Ganjar keren, Anis Bagus, Prabowo capek diserang paslon 1 dan 2 karena kinerjanya yg buruk. Pengen pilih Ganjar tapi partainya saya tidak suka karena track record dan etikanya yg saya tidak suka. Jadi saya ke paslon 1 karena lebih jelas dan tegas mengangkat rahasia umum menjadi terbuka naik ke permukaan dan terkonfirmasi olehnya menjadi valid. So, I Choose Paslon Capres no urut 1 Anies Cak Imin. Amin..."
@kictune1750,"Ganjar protes beli pesawat bekas, lalu selama 10 tahun PDIP memimpin indonesia dan mengawasi anggaran di DPR Ganjar dan PDIP kok diam2 saja? kok baru ngomong setelah PDIP mau selesai memimpin?
Bukankan 10 tahun terakhir Indonesia dipimpin oleh Presiden dari PDIP, bukankan Presiden Jokowi hanya petugas partai PDIP? 
Kok nyerang mentri pertahanan sementara presidennya saja bisa diakacangi Bu Mega apalagi hanya sekelas mentri? Kenapa gak nanya ke Bu Mega atau PDIP? bukankan yang menyetujui anggaran dari DPR yg notabene dipimpin PDIP dari partai yg mencalonkan Ganjar?
Ganjar dan Anies ini ngaco!"
@RifaiiGanteng,"heem"" ada yg sudah nyogok daerah saya nihh"
@eleanorgarnetameribel611,"anis saya tidak akan mencalonkan diri sebagai presiden selama pak prabowo mencalonkan diri
cak imin saya partai pertama yg bergabung dengan partai pak prabowo dan saya akan mendukung sepenuhnya untuk pak prabowo.
kenyataanya kedua orang ini menjadi satu untuk mencalonkan diri😂😂😂😂😂😂 penghianat akan tertulis dalam sejarah alam semesta"
@tashahenanza4691,"Dari yang saya bisa tanggap, pak prabowo seorang pemimpin yg teknis dan global, sedangkan pak anis seorang pemimpin  yg teoritis dan detail. Benar tiap orang memiliki gaya memimpin yang berbeda, dan tiap orang memiliki kriteria pemimpin yang mereka anggap baik. Dari kedua capres no 2 & 3 tidak ada yang kurang dalam debat ini. Visi yang dicapai sama hanya misi untuk mencapai visi yang membedakan."
@kictune1750,"Benar yang dikatakan Prabowo ""Jangan karena ambisi Pribadi kita menghasut dan menyesatkan rakyat, itu etika yang tertinggi""

Masalah kode etik sudah dibahas di MKMK dan Gibran tidak melanggar kode etik.
Semua Hakim MK Divonis Melanggar Kode Etik, Karena Bocorkan Hasil RPH, jadi bukan pencalonannya yang melanggar kode etik ya, itu sudah jelas jadi bukan masalah pencalonan Gibran.

Hak memilih dan dipilih itu adalah hak bagi ""SETIAP WARGA NEGARA"" jadi kalau Gibran atau ada yang menuntut hak Gibran buat dipilih, itu sah2 saja sebab dilindungi oleh undang2. Justru yang perlu dipertanyakan itu siapa yang merampas hak warga buat dipilih dengan menentukan batasan usia 40 tahun? 

Dan Anies adalah para pendukung perebut hak warga negara demi ambisi pribadi!

Silahkan jawab secara obyektif ""apakah orang dewasa tidak berhak dipilih?"" tolong jangan jawab berdasarkan aturan yang telah disetting demi kepentingan para petinggi partai."
@rfm2466,Besok2 ga perlu ada penontonnya dah 😂
@amar_1167,Wongsaya suka nomor 1 itu hak pilihsaya ❤
@satudarisejuta,keren banget semua capresnya. putra2 terbaik bangsa INDONESIA
@user-hu1hr8xe8d,"lah.. anda lawak pak anis, malah bahas harta pribadi dg keuangan negara. Trs fokus ke negara kan, ini malah bahas menhan. Mengcapekkkkk"
@ivankadek7616,Lo milih anis lo siap ditunggangi negara lain😂
@portalmartin,Ampun dah penontonnya... 😂 Susah bener dibilangin.. 😅
@alfonsussamosir901,Indo gak pernah gagal hutang tapi warga nya suka gak bayar hutang
@davidoktavianustambunan-xe6rs,Nanti kalau jaman bapak tetap juga d bobol hacker alasannya hacker nya terlalu canggih dan sinyal kuat. Ah ngomong besar
@davidoktavianustambunan-xe6rs,Itu lohbpak yang d sebut prabowo sesat.
@davidoktavianustambunan-xe6rs,Lebih baik prabowo ga usa banyak ngasih harapan. Kalau adu data datang k pertahanan ga usa banyak bacot  dan berkhayal
@davidoktavianustambunan-xe6rs,Realitas pak mohon realita.
@davidoktavianustambunan-xe6rs,Nanti jadi presiden impor padi impor segala macam. Alasannya tanah di indonesia ini kurang bagus dan ga bisa di tnaman
@kictune1750,"Anies ditanya ttg ketertinggalan alutista NKRI agar pertahanan makin kuat apalagi Anggaran pertahanan hanya 0,78% dr anggaran APBN dan Ganjar mengatakan kalau diberi yg bekas2 dia mau musiumkan. Parahnya Anies buat nyari muka malah dukung Ganjar dengan meningkatkan anggaran dari 0,78% jadi 1,5%, sementara wakilnya Anies ngoceh  ngapain beli Alutista jadi Anies dan Muhaimin gak kompak masalah Alustista atau Anies terpaksa bohong buat nyari muka nyerang Prabowo.

Alutista bekas yang masih layak pakai masih bisa dipakai untuk penghematan ttp tidak semua Alutista juga harus barang bekas, ttp tergantung kebutuhan dan kelayakan pakainya.

Sebelumnya Anies berbicara infrastruktur jangka panjang terlalu makan waktu sementara kita butuh solusi saat ini, ini jadi bertentangan dengan ide Ganjar dan Anies yang ingin Alutista baru yg ordernya butuh tahunan, belum lagi pelatihan dll.

Jadi ocehan Anies ini selalu gak nyambung antara ocehan yang 1 dengan lainnya.
Ocehannya hanya disesuaikan kebutuhan saat ngoceh, ttp kalau dihubung2kan dengan ocehan lainnya pada bertentangan.

Ditanya Alutista dijawab masalah cyber, dll. sengaja alihkan jawaban karena takut ketahuan bohongnya alias gak nyambung dgn pernyataan sebelumnya."
@davidoktavianustambunan-xe6rs,"Pak anies berdalih ngomong polusi udara di sebabkan angin. Nanti jadi presiden d serang negara lain, ada jet tempur di bilang pesawat alien karena saking cepatnya ga keliatan"
@davidoktavianustambunan-xe6rs,Ketika mau jadi pemimpin pak anies coba lah ketahanan di daerah d baguskan. Bukti anda ketahanan di jakarta hancur. Banjir dimana mana
@davidoktavianustambunan-xe6rs,"Hahahhaha pak anies pak anie ngomong narkoba, jaman ente jadi gubernur narkoba juga meraja lela. Ketahanan di jakarta bobrok pak"
@marshallwtm,Gak bakal dipilih jangan banyak omong
@Misqueen2023,"Di saat ini posisi ganjar emang sangat layak menjadi presiden karena ganjar posisi netral, anies oposisi, prabowo pro pemerintah
GaMa 🤟 Presiden, Anies Menlu"
@nuril5560,"debat cuma bisa nyampaikan 2 menit, tapi anis provokasi banget. prabowo punya tanah besar jg hasil kerja kerasnya dulu ntah warisan atau dia beli secara mandiri. bukan hasil dari sertifikat palsu."
@ikmal23chanel8,Tetap prabowo presidenku
@user-ie9he5sz4r,"Didepan kamera aja Prabowo arogan,jadi isu yang mengatakan dia nyekik wamen itu bisa jadi benar 😂"
@babedjumali,"Siapapun yang jadi presiden, yang penting bukan anis......yg terlalu banyak retorika dan pinter omong doang...JAKARTA adalah BUKTI.....AYAT dan MAYAT adalah ALAT...."
@kictune1750,"Anies ini type orang yang suka memanfaatkan siapa saja demi kepentingannya, dia ingin menyerang Prabowo ttp manfaatkan Ganjar buat menilai kinerja Mentri Pertahanan, sama saat ingin menang lawan AHOK dia manfaatkan masjid dan FPI serta umat muslim se Indonesia, dia rela menghancurkan toleransi di Indonesia hanya untuk ambisi sesaatnya. Sangat sadis buat jadi pemimpin. Tutur katanya halus tetapi rencana jahatnya sekelas pimpinan setan.
Senyum munafik Anies sangat lebar karena Ganjar masuk perangkap Anies yang dimanfaatkan buat nyerang Prabowo."
@edysarwoko6433,Gagasan perubahan paslon no.1 lebih logika
@achsofiyullah6474,anis
@haidarmaruf456,Bpak ganjar bpak mahfud yeeees.
@kictune1750,"Beli baru pada ngomel utang lagi utang lagi, pemborosan dll. beli yang bekas buat penghematan bilang lagi ketinggalan zaman dll. 
Kalau nyari hal2 negatif apapun pasti ada, tinggal pemimpin bijaksana membeli barang yang sesuai kemampuan dan kebutuhan."
@koeevlok2417,All in buat prabowo
@Rispa-zn4tk,"itu yg bilang dukung anis dibayar berapa si :"""
@lilianti8919,"menurut saya capres nomor 2 dan 3 sama"" ingin maju sedngkan capres nomor 1 ingin maju sndiri dengan menjatuhkan nomor 2 dan 3"
@sudungnainggolan8154,Ganjar Mahfud menang menang menang 🤟🤟🤟🤟🤟🤟🤟🤟🤟🤟
@sudungnainggolan8154,Pilihan rakyat Indonesia nomor 3 🤟🤟🤟🤟🤟🤟🤟🤟🤟🤟
@matamubiru4760,Anis cuma nyinyir tanpa gagasan cari kesalahan prabowo. Ganjar luar biasa cerdas. Prabowo kasian mau nangis...
@sudungnainggolan8154,Rakyat Indonesia memilih nomor 3 Ganjar Pranowo presiden RI dan Mahfud MD wakil presiden RI tahun 2024 - 2029
@kictune1750,"Anies begitu sombong ngomong korupsi padahal yang paling dicurigai korupsi itu ya Anies, melegalkan koruspsi dengan istilah barunya ""kelebihan bayar"". Gak punya modal buat ikut pemilu otomatis make modal sponsor, GAK ADA MAKAN SIANG GRATIS, istilah ""kelebihan bayar"" bukankan buat mengenyangkan perut para sponsor anda saat maju PILGUB Jakarta dulu? dan pastinya SPONSOR anda saat ini sedang mengincar proyek2 besar termasuk proyek IKN, anda hanya berbohong menentang IKN untuk membodohi orang2 bodoh, IKN itu sama seperti reklamasi, sesuatu yg tidak bisa anda hentikan dan sangat menyesatkan kalau anda berkata menentang dan bisa menghentikan sama seperti kebohongan anda ttg reklamasi yg sempat ""ISTIRAHAT"" hanya buat pencitraan anda, padahal faktanya tetap lanjut karena anda dari awal sudah tau gak bisa dihentikan sama seperti proyek IKN yang mustahil dihentikan, kalaupun dihentikan akan merugikan negara dan kedepannya pasti akan dipindahkan dan saat itu negara akan semakin kesulitan."
@likechannel1256,Pintar sekali pk anis ini omong omong 👍
@smawisnuwardhana1540,siapapun yg jadi itu adalah takdir Tuhan karena didunia ini tidak ada yg kebetulan
@smawisnuwardhana1540,"siapapun yg jadi presiden itu adalah pilihan rakyat, adapun kalau ada kekurangan dan kelebihan itu sangat manusiawi, jangan hanya pandai jelek jelekan karena bisa jadi klau diantara kita maju debat malahan gak bisa ngomong apapun"
@gunawanwrsn9415,Percayalah omongan tidak sesuai dengan dilapangan
@ayubmaruf3074,itu c terus yak?
@mifajrin7795,LUAR BIASA jawaban pak Anies sangat lugas dan jelas tujuannya
@kictune1750,"Anies gak tau bedakan mana utang konsumtif mana utang produktif!  Utang produktif itu wajib diutamakan bahkan kalau harus memangkas dana utang konsumtif seperti utang buat subsidi BBM dan subsidi lainnya termasuk bantuan2 lainnya, kalau utang konsumtif masih bisa dinego."
@firmanekohertanto,"kalo si anies...hanya bisa mejelek2an org, merasa paling benar paling hebat paling pintar paling spektakuler....padahal isi nya NOL BESAR.....hanya ngarang....obral janji karena mulut manis nya.....yg jelas jgn sampai anies jadi pemimpin"
@yandrinavanny,Kalau rahasia negara kenapa Bawaslu masukkan dalam tema Debat? Yg rahasia itu tehnikannya kalau strategi dan penyelewengan uang negara mah harus diungkap jangan berlindung dibalik kata Rahasia Negara😅
@badrusolihin7167,tolong di evaluasi . setelah acara depat para paslon diakhiri salaman
@nasya2001,GANJAR MAHFUD ❤❤❤❤❤
@maulisanty1994,Anis InsyaAllah presiden 2024-2029
@komeng4380,"ini topiknya cukup bahaya untuk menjaga kedaulatan NKRI, pak prabowo menurut gua bagus dengan membatasi jawabannya karna gua sebagai warga negara indonesia, gua ga mau negara barat lihat debat ini untuk mencari celah pertahanan kita supaya bisa nyerang indonesia."
@kictune1750,"Orang bodoh berfikir Anies diserang oleh Prabowo dan Ganjar, tetapi orang bijak akan tau bahwa Anieslah yang menyerang dan 2 orang hanya bela diri. Jadi kalau kalau setelah diserang balik jangan playing victim bilang kita dikeroyok! Berdebat pakai data jangan make emosi buat menyerang."
@lalemon,ganjar sat set ngepas banget itu jawabanya jg 💯💯
@hadfrisar8982,masih ada waktunya Bapak.... eh..... waktunya hanya 2 detik mau ngomong apa itu 2 detik cmcmcmc Hostnya lucu
@desifebiola2886,"Inimah bukan debat tpi mojokin, mereka klo jdi mentri blm tentu sebagus prabowo"
@kictune1750,"Ganjar kalau menyerang pemerintah saat ini itu akan blunder sebab, Ganjar dari PDIP, Jokowi dari PDIP, yang berkuasa di Indonesia selama 10 tahun terakhir adalah PDIP, yang menyetujui anggaran adalah DPR yang notabene orang2 PDIP dan dipimpin oleh orang2 PDIP. 
Seharusnya Ganjar dan PDIP masang badan kalau pemerintah saat ini diserang ttp lucunya Gerindra yang selama 10 tahun terakhir adalah oposisi ttp kok oposisi yang seharusnya menyerang pemerintah justru dia yang bela pemerintah yang berkuasa yang notabene sopirnya adalah pemimpin PDIP yaitu Bu Mega."
@mpw1912,GUE AKUI PASLON NO 1 DAN 3 CERDAS DAN PINTAR BICARA TP BLM TENTU BISA KERJA. NO 2 TETEP PILIHAN. SUDAH BANYAK BUKTINYA. BUKAN CUMA PINTER NGOMONG. MASYARAKAT JGN MAU TERMAKAN OMONGAN MANIS DAN CARA BICARA YG ELEGAN SAJA. MASYARAKAT HARUS BUTUH YG BISA ACTION
@Update45,Mudah mudahan ya Alloh SWT KPU Republik Indonesia KPU kita ADIL Netral punya Integritas.... 🤲Aminnnn
@fadillahassyabanibani6241,"In syaa Allaah...
AMIN 2024"
@marapufighters7447,Nyinyir
@UmahUmeng,"Yg suruh di sanggah omonganya pak ganjar,, pak prabowo malah nyanggah pak anis mulu heran 😂😂😂"
@calonjenazah7386,Prabowo kog kelihatan lebih tulus sungguh sungguh dan  tidak mengada ngada apalagi bersilat lidah
@Armyeo,"Strategi pertahanan g bisa dibongkar keumum dong guys, musuh lihat gmna 😶"
@user-jc9ut2ph4w,"Pada jahatt jahat bgt ya mojokin pak prabowo terus, persoalan dr yg kmren2 dibahas terus heran bgt gw. Debat bisanya nyerang orngnya trus bukan debat yg seharusnya wkwkk. Apalagi anis gilaaa gilaa si anis"
@iinzaenatussaadah146,Dari kesimpulan debat ini prabowo akan bla2 ganjar jga akan bla2 pas anis ingin beda dari yg lain
@hais1236,anis memang keren bgt
@zaidilsatria1782,"Itu tanah atau negara sih 3400H mau di bawa mati aaa
Suruh sambayang tuh wowo😂"
@fennysonianinette7170,"Suka sama expresi anis, tetap tenang dlm sentilan prabowo"
@nurhamzahhamzah7074,"harusnya tiap capres debat di anjurkan tanpa teks contekan,,"
@user-gu8ur5vv8u,Calon presiden nyari kesalahan2 calon lain pengen terlihat jadi yg terbaik ...itu menandakan watak yg tdk baik..gtu kok mau jdi presiden...tetap semangat bpk Prabowo❤
@UmahUmeng,". ADA YANG DIHAPAL kubu laen
. ADA YANG RAGU GUGUP banyak A E nya kubu laen
. ADA YANG PALING PERCAYA DIRI DAN CERDAS ATAS ILMU NYA (( AMIN )) DOOOOONG❤❤❤"
@UmahUmeng,PAK ANIS DOANG YANG SELALU TULUS DALAM BERUCAP❤❤❤❤
@UmahUmeng,AMIN❤
@UmahUmeng,ACARA DEBAT YA KUDU BANYAK NGOMONG BUKAN A E A E E EEEEEE EAAAA WKWKWK
@UmahUmeng,"Pak prabowo selalu bilang pak anis banyak omong dan teori,,, Pak liat rekam jejaknya biar bapak tau omongn yg dihasilkan dan teori yg terjadi atas tindakan... 


Bapak punya masalah pribadi jdi sewot aja sma pak anis😅"
@mrbig3250,"Debat sekelas CAPRES, koq kaya debat majikan sewot sama tukang kebun 😂, susah kalau orang sdh kelewat kaya, kelewat ambisi buat menang, nganggap yg lain dibawah gua
Padahal dia cuman jadi pijakan anak raja 😂"
@prajawangsa973,"Masalah pertahanan ngga bisa dibocorin seenaknya. Debat capres ini dilihat bukan hanya sama orang indonesia aja, pihak asing pun melihat bagaimana debat calon presiden indonesia selanjutnya berjalan. Jadi ngebocorin kekurangan masalah pertahanan menurut gw hal yang paling blunder si.. padahal kalo masalah temanya pertahanan udah fokus aja sama program yang akan dijalankan. bukan ngebocorin masalah kekurangan kinerja sebelumnya"
@Ren.3.10.11,"Kita butuh pemimpin yang cerdas dan memiliki etika, bukan pemimpin yang penjilat, bicara tanpa basis/logika dan menghalalkan segala cara bahkan tidak takut melanggar aturan karena dilindungi penguasa."
@emmayulita4625,No 2 titik.
@mrbig3250,"si wowo cuman pajangan, 😂elu cuman dimanfaatin doang wo,
susah sinkron jln pikiran sama mulut, jadi nya timbul emosi 😅"
@hetwinfantiya2385,Prabowo❤
@user-hg1bg1ey9c,"Pak Ganjar ttep play safe pak, biar paslon 1 sma paslon 2 panas”an. Smpai msyarakat indonesia lbh netral melihat jawaban dan kesiapan bapak memimpin indonesia 🙏 *pendapat pribadi"
@user-do6ds5jx2t,"Cmn Anis yg bs dan mau d rosting kiki apa adanya,tanpa perlu d cut,itu artnya pemimpin yg berjiwa ksatria...tanpil apa adanya..tanpa hrs d tutupi keadaanya..karena beliau emang pintar dan d dukung izasah yg asli dr fakultas top..wajar juga dan msk akal jika pa Anies pandai berbicara.."
@bangrey92,"mau kek mana klean cari kelemahan, aku tetap Prabowo gibran untuk 2024❤"
@terasinfo7789,"Kalo seseorang mencalonkan diri untuk menjadi pemimpin, 2 kali periode pemilihan KALAH/ GAGAL, itu berarti bukti kalo lawannya lebih kuat, ataukah orang tersebut emang tidak disukai rakyat?"
Roidatun Nahdhah,AMIN
Roidatun Nahdhah,"Bismillaah, Anies - Muhaimin. Semakin yakin! Insyaallah"
@iinzaenatussaadah146,Pendukung prabowo sama ganjar rata2 smuanya mendoakan agar menang tpi anti bilang AMIIN krna meraka takut klo bilang amiin itu akan memenangkan anis logikanya sudah qodarullah yg seharusnya memimpin itu ya AMIIN. Amiin y mujibassailiin istajib doana ya qobul qobul
@omnamasiwa2839,"Prihal PERRAHANAN adl hal yg sangat RISKAN utk di Ungkapkan. 
Bagi yg mengerti ILMU PERRAHANAN dia tidak akan gamblang menjelaskan PERTAHANAN NEGARA."
@tiarostiana8994,"Dilihat dari karakternya pilih capres RI 1 dari paslon 1 atau paslon 3, karena negara NKRI yg luas dan jumlah penduduk yg banyak ini perlu pemimpin yg bisa mengendalikan emosi, yg berkepala dingin dan tidak baperan"
@T0VXR,Ga ma
@aliizzah2353,"Luar biasa loh pak anies ini jelasinnya, pak prabowo yg sebagai Menhan malah sibuk defensif ga mau instropeksi"
@arniesanainggolan1408,"🤣🤣cukup geli liat orang yang umbar janji, tapi liat kepemimpinan nya kecewa aja gt. Ngomong korupsi mau berantas tapi pelaku, ngomong nya kebalikan dr yg di lakukan"
@kictune1750,"Bicara teknologi, Anies tau apa? Dulu AHOK manfaatkan teknologi buat rapat terbuka yg bisa dinonton secara live maupun video youtube, giliran Anies memimpin sengaja tidak dipakai agar para sponsor bisa ramai2 korupsi dan dilegalkan lewat istilah Kelebihan Anggaran. Anggaran asal dihabiskan melalui penggelembungan dana. Baru megang Jakarta saja sudah begitu, gimana kalau menangani Indonesia dengan banyaknya investor2 besar? mau diam2 lakukan perizinan buat yg nyetor banyak dan mematikan usaha bagi yg gak bisa nyetor banyak? kalau system tertutup macam cara Anies maka hukum rimba yang bermain dalam dunia investasi."
@andhikabachtiar9372,"Jago ngomong blm tntu jago kerja.
Krna sebuah negara butuh org yg bs n jago krja,bkn yg jago ngomong
Tkutnya nanti pas udah jd...gliran ditny n ditagih janjinya...malah balik nanya ""dulu janjinya apa ya?""😂😂😂
Tetep 2 n 3 lah tinggal cap cip cup lah😂😂"
@elke7298,Gk ngaruh .... Ttp pragib 2024
@puspitaningrum2329,Dari debat ini kok aku jadi milih no 3 ya..
@arniesanainggolan1408,Cakap ttg korupsi. Semoga ga pernah terlibat ya
@godak546,saya sependapat dengan pak ganjarrrr😂😂😂😂😂😂 bowleee
@ujangsyukria6715,Mahasiswa tolong lebih cerdas dan benar ..bukan sekedar pinter
@chocolatesyrup9835,"penasaran.. utk pendukungnya amin kalo misalnya amin ga masuk ke putaran 2,  bakal milih no 2 atau no 3  ya?"
@ujangsyukria6715,Bukan calon pemimpin yg gak bisa bijak
@ujangsyukria6715,"Hati anies sama ganjar buruk
Tidak terpuji .
Hatinya pada rusak,dan kotor"
@user-zm8vf5gj9o,"Tidak perlu pilih presiden yg PANDAI CARI MUKA DAN BANYAK BICARA,,YANG DIBUTUHKAN HANYA KERJA NYATA DAN BUKAN DARI MANTAN KORUPTOR"
@ujangsyukria6715,Saya ragu sama sifat pa anis dan pa ganjar yg bisa pinter ngomong tapi ga benar
@user-zm8vf5gj9o,"ORANG LICIK AKAN TAKUT KALAH,,JADI BANYAK TAKTIK YG SUDAH DISIAPKAN UNTUK MENJATUHKAN LAWANNYA,,,,,,😂😂😂😂😂"
@victoriousfox,Ga ada paslon yg mau bubarin ormas2 preman nih?
@ujangsyukria6715,"Anis pinter ngomongkeun ng tapi blm benar
Negara perlu orang benar bukan orang pinter"
@rh_ulalel,"saya kok kaget, tema ini harusnya bisa di lahap dengan santai oleh pak Prabowo, tapi ini kok malah ngga gitu yah, malah emosian terus jika ada lawan yang mengungkapkan fakta, harus siap jawab, lawan debat pasti sudah mengumpulkan rekam jejak atau program lawan yang gagal, siapkan jawaban dengan baik, jangan emosian, gimana ini team pemenangannya, semua calon jangan baperan, siap untuk di cecar sama lawan debat, siapkan jawaban yang hebat dan meyakinkan, ngga usah baper...."
@mayapuspitadewi7425,"Perlu kalian tau itu no 2 mentri menhan mentri paling irit paling hemat tapi masih peringkat untuk kekuatan militer kita masih di atas kebayang kan klo prabowo boros cuman buat beli alat perang doang lansung banyak hutang indonesia makin miskin negara😂 
ini aja hutang negara indonesia aja ga kebayar bayar gara gara pa jokowi bisa bisanya hutang smpe ke angka 10rb triliun, malu di bilang negara berkembang hutang kebayakan bilang negara miskin pda marah rakyat nya wkwkkw. 
Si nomor 1 paling so soan pengen sgela ngadain bkin pentas seni di seluruh dunia buat ngenalin indonesia hutang aja banyak sgela ngayal kemana mana dikira murah bayar dulu hutang negara bru dah strah lu mau ngapain juga anis jakarta aja lu engga bisa ngurus sgela pngen jdi presiden masa nyaleg presiden ngutang dlu? 
Ini lagi no 3 aneh nya jdi gubernur jateng provinsi yg di bilang termiskin katanya lu kga bisa ngurus masa lu mau jdi presiden yg ada makin termiskin indonesia nya.
Malu dong
Cuman mau yg menang siapa aja bodo amat yg penting utang negara bisa d lunasin rakyat sejahtera in baru dah mau ngapain juga"
@user-el1qc5vz3z,pertahanan tbaik adl menyerang. debat malam ini pak Anies jagoannya.  sejak awal debat seru dan berkwalitas
@HassanCheema,I am foreigner in Indonesia and i don't know about the politics of Indonesia but I like the personality and dressing of Ganjar guy. I don't know his name the guy at 4:30:08.
@Exams01,Dari debat ini terlihat mana yang mulai dari 0 😂
@siRandom403,"Kok nyerang pribadi ya 😂😂😂😂 masih gak bisa move on ne,,, bhya kalau milih pemimpin yg suka mengurusi mslah pribadi orang😅"
@RukhoyatulFadhilah-cn3gt,Semoga bapak anies sehat selalu
@abdulharis5432,1
@muhardiman2823,"SETELAH MELIHAT DEBAT VISI, MISI DARI CAPRES PEMILU 2024,YANG IKHLAS DAN JEJAK REKAM YG BAGUS HANYA ""ANIES BASWEDAN PEMIMPIN NKRI 2024"""
@cumahiburan386,"Kalo meliha debatt ini pak anies luar biasa sangat menguasai semua bidang, salut, pantas menjadi pemimpin masa depan, AMIN"
@catrawening1932,Suruh ngurusi Hutang Negara saja kok pada rebutan sih...???
@ekarp00,2 vs 1 kah wkwk
@abrahamihsani7985,khas anis adh kita ingin kita ingin kita ingin. trs utk menang harus menjatuhkan 🥱
@noviasinawangsasihse6960,Prof Anies Baswedan calon presiden yg cerdas berpikir tegas bertindak
@krisnawanto8664,Pak Prabowo harus tenang jangan emosi menerima kritik.justru itu di jadikan bahan pertimbangan sudah tepat bnr apa tidak.lontaran kritik an maupun jawab an anda.
@arniesanainggolan1408,Kenapa bawah bawah Palestina. Ini Indonesia lo
